step,category,rank,reward,R2,RMSE,prefix,expr
0,elite,14,0.377288,-0.42230741148391737,3.327687581675883,sub pow3 add mul mul <C> v2 mul mul <C> v1 tanh sin sub tan v2 sigmoid (1/3) <C> v1,(((((-1.6250*v2)*((-0.0912*v1)*tanh(sin((tan(v2)-sigmoid((1/3)))))))+0.0805)**3)-v1)
0,elite,15,0.174007,-3.613494541491729,5.993228209204903,sub sub sub sub mul v2 5 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/4) <C>,(((((v2*5)-v2)-v1)-((-0.1858*aggr((sour(v2)-targ(v2))))/(1/4)))--0.3851)
0,elite,16,0.495786,0.02295997303529218,2.758049062429071,sub sub sub tanh mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/2) <C>,(((tanh((v2*(v2**3)))-v1)-((0.0899*aggr((sour(v2)-targ(v2))))/(1/2)))-0.9315)
0,elite,17,0.475544,-0.023942543063961264,2.8234727670578765,sub tanh sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 5 <C>,(tanh((((v2*(v2**3))-v1)-((-2.9409*aggr((sour(v2)-targ(v2))))/5)))-0.8664)
0,elite,18,0.233025,-2.131434659270622,4.937617987641034,sub sub sub sub mul v2 pow3 sigmoid v1 div mul <C> (1/3) sub pow3 v2 5 v2 (1/3) <C>,(((((v2*(sigmoid(v1)**3))-((-0.2236*(1/3))/((v2**3)-5)))-v2)-(1/3))--0.2001)
0,elite,19,0.646445,0.47612028213697866,2.019582514514093,sub sub exp add mul <C> v2 sub mul <C> v1 v1 tanh v2 2,((exp(((0.4512*v2)+((1.0017*v1)-v1)))-tanh(v2))-2)
0,elite,20,0.211876,-2.7704053813813165,5.418010380313122,sub sub sub sub mul v2 (1/4) v2 v1 div mul <C> aggr sub sour v2 targ v2 <C> 4,(((((v2*(1/4))-v2)-v1)-((0.4177*aggr((sour(v2)-targ(v2))))/1.2467))-4)
0,elite,21,0.036327,-41.18382119841179,18.122527532038,sub sub sub sub mul v2 pow3 sqrtabs mul v1 div mul v2 pow3 v2 <C> <C> v1 <C> v2,(((((v2*(sqrtabs((v1*((v2*(v2**3))/201.6527)))**3))-1.5098)-v1)-0.5452)-v2)
0,elite,22,0.471745,-0.042559481951454314,2.849024806738826,sigmoid mul 3 mul <C> aggr sin sub sub sour abs v2 targ v2 sigmoid targ v2,sigmoid((3*(-0.1199*aggr(sin(((sour(abs(v2))-targ(v2))-sigmoid(targ(v2))))))))
0,elite,23,0.085367,-9.034672286898896,8.838883430974878,sub sub sub sub 4 v2 5 v2 v1,((((4-v2)-5)-v2)-v1)
0,elite,24,0.637103,0.44754636262684766,2.07392825352378,sub sub sub mul add v2 pow2 mul mul <C> aggr sour regular v2 4 (1/5) <C> <C> v1 <C>,"(((((v2+(((0.0000*aggr(sour(regular(v2, 4))))*(1/5))**2))*0.8630)--0.4145)-v1)-0.2522)"
0,elite,25,0.233668,-2.103559896936359,4.915592525452198,logabs sub sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/5) <C>,logabs(((((v2*(v2**3))-v1)-((0.0651*aggr((sour(v2)-targ(v2))))/(1/5)))-1.1572))
0,elite,26,0.156142,-4.247941582182578,6.392052089965481,sub sub sub sub mul sqrtabs v2 v1 div mul <C> aggr sin cos sour v2 4 v2 (1/3) <C>,(((((sqrtabs(v2)*v1)-((-0.4998*aggr(sin(cos(sour(v2)))))/4))-v2)-(1/3))--0.4725)
0,elite,27,0.005718,-170.1135800291115,36.499595230839276,sub sub sub sub cos v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 4 <C>,((((cos(v2)-(v2**3))-v1)-((14.6252*aggr((sour(v2)-targ(v2))))/4))--1.0250)
0,elite,28,0.486082,-0.06471769284986695,2.8791417349871558,sub sin sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 v2 <C>,(sin((((v2*(v2**3))-v1)-((-1.3862*aggr((sour(v2)-targ(v2))))/v2)))-0.0511)
0,elite,29,0.010253,-95.48622199033449,27.408070341330273,sub sub sub sub (1/3) v2 pow3 v2 v1 div mul <C> aggr targ v2 <C>,(((((1/3)-v2)-(v2**3))-v1)-((-5.1959*aggr(targ(v2)))/0.9835))
0,elite,30,0.421521,-0.39095706239377104,3.2908089623342356,sub sub sub v1 mul logabs v2 v1 div mul <C> aggr sin sub sour v2 targ v2 4 <C>,(((v1-(logabs(v2)*v1))-((0.6583*aggr(sin((sour(v2)-targ(v2)))))/4))-0.1498)
0,elite,31,0.565458,0.24861589947195784,2.4186710699254763,sub sigmoid sub sub mul 2 v2 v1 div mul <C> aggr sin sub sour v2 targ v2 v1 <C>,(sigmoid((((2*v2)-v1)-((-0.0009*aggr(sin((sour(v2)-targ(v2)))))/v1)))-0.5732)
0,elite,32,0.175317,-3.6896646987795645,6.042500649951924,sub sqrtabs sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/3) <C>,(sqrtabs((((v2*(v2**3))-v1)-((4.8069*aggr((sour(v2)-targ(v2))))/(1/3))))-12.0626)
0,elite,33,0.005711,-170.1541633392989,36.50392331098351,sub sub sub sub abs v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 5 <C>,((((abs(v2)-(v2**3))-v1)-((18.6312*aggr((sour(v2)-targ(v2))))/5))-1.5554)
0,elite,34,0.337542,-0.87159519497033,3.81726025261023,sub sub sub sub mul v2 (1/4) v2 v1 div mul <C> aggr sub sour v2 targ v2 1 <C>,(((((v2*(1/4))-v2)-v1)-((0.3341*aggr((sour(v2)-targ(v2))))/1))-0.1809)
0,elite,35,0.143071,-111617.67645927993,932.2110438615994,tan sub sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/3) <C>,tan(((((v2*(v2**3))-v1)-((1.1059*aggr((sour(v2)-targ(v2))))/(1/3)))-0.6164))
0,elite,36,0.462412,-0.12992915105670355,2.9660018394546612,sub sub (1/3) cos mul <C> mul v2 v1 div v1 exp regular sqrtabs v2 mul <C> abs <C>,"(((1/3)-cos((0.0870*(v2*v1))))-(v1/exp(regular(sqrtabs(v2), (1.9778*abs(-5.2710))))))"
0,elite,37,0.316073,-0.9464724870759416,3.8928703873761363,sub sub sub sub mul v2 (1/5) v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/5) <C>,(((((v2*(1/5))-v2)-v1)-((0.0735*aggr((sour(v2)-targ(v2))))/(1/5)))-0.1079)
0,elite,38,0.022206,-51.677903978543235,20.251633191788887,sub sub sub sub mul v2 pow3 2 v2 v1 div mul regular div v2 v1 1 <C> (1/4) <C>,"(((((v2*(2**3))-v2)-v1)-((regular((v2/v1), 1)*-0.0202)/(1/4)))--0.3537)"
